PPNr,ageinmonths,BoyGirl,TOTAAL_Begrip,TOTAAL_Productie,PPnr,Percentiel begrip,Percentiel productie,Taalleeftijd begrip,Taalleeftijd productie
BD110,24,Boy,403,312,BD110,50,70,24,26
JK111,24,Boy,379,296,JK111,45,65,23,26
AS112,24,Boy,265,100,AS112,15,20,20,21
BG113,23,Boy,539,382,BG113,90,90,28,28
BV114,24,Boy,271,31,BV114,20,3,21,19
WT115,23,Girl,551,413,WT115,85,85,28,27
LZ116,24,Boy,478,425,LZ116,65,90,26,28
TW117,24,Boy,550,389,TW117,85,80,28,28
TZ118,24,Girl,620,513,TZ118,90,90,30,29
BJ119,24,Boy,408,209,BJ119,50,50,24,24
JH120,24,Boy,141,23,JH120,1,1,17,17
JB121,,,,,JB121,0,0,16,16
CG122,25,Girl,596,379,CG122,80,65,30,27
MH123,24,Boy,475,333,MH123,65,70,26,27
LL124,24,Girl,496,267,LL124,65,45,26,24
UM125,,,,,UM125,0,0,16,16
NB126,24,Boy,417,128,NB126,50,25,24,22
MK127,24,Boy,419,190,MK127,50,40,24,24
BA128,24,Boy,420,226,BA128,50,55,24,25
LH129,24,Girl,316,121,LH129,20,15,21,20
ET130,24,Boy,455,305,ET130,60,65,25,26
LB131,23,Girl,227,172,LB131,10,35,19,22
MO132,24,Girl,225,94,MO132,5,10,19,20
LK133,24,Boy,540,419,LK133,85,85,28,28
JD134,24,Boy,213,116,JD134,10,25,19,22
EN135,24,Girl,675,146,EN135,99,20,30,21
AM136,,,,,AM136,0,0,16,16
WS137,,,,,WS137,0,0,16,16
WB138,24,Boy,320,260,WB138,30,60,22,25
ZL139,24,Girl,282,43,ZL139,15,1,20,18
SM140,24,Boy,205,134,SM140,10,30,19,22
BV141,,,,,BV141,0,0,16,16
TS142,23,Boy,644,399,TS142,99,90,30,28
LN143,,,,,LN143,0,0,16,16
WM144,23,Boy,527,446,WM144,90,95,28,29
RG145,24,Girl,478,316,RG145,60,60,25,25
MS146,24,Girl,382,227,MS146,30,35,22,23
AV147,23,Girl,615,472,AV147,95,90,30,29
TS148,24,Boy,420,386,TS148,50,80,24,28
EW149,24,Boy,75,33,EW149,1,5,16,19
BD150,24,Boy,333,137,BD150,30,30,22,22
JS151,24,Boy,156,82,JS151,1,15,18,21
MH152,24,Boy,246,169,MH152,15,35,20,23
BD153,25,Boy,467,271,BD153,55,55,26,26
IW154,23,boy,413,201,IW154,50,40,23,22
HS155,23,Boy,437,166,HS155,65,50,25,23
BS156,23,Boy,463,327,BS156,70,80,26,27
VS157,24,Girl,408,224,VS157,40,35,23,23
CH158,24,Boy,520,232,CH158,80,55,27,25
SS159,24,Girl,599,580,SS159,90,95,30,30
MH160,24,Boy,658,598,MH160,99,99,30,30
FC161,23,Girl,407,325,FC161,50,70,23,25
AM162,24,Girl,211,95,AM162,5,10,18,20
MT163,,,0,0,MT163,0,0,16,16
GV164,24,Boy,218,97,GV164,10,20,19,21
MT165,25,Girl,433,373,MT165,35,65,24,26
ST166,25,Boy,422,362,ST166,45,70,25,27
RC167,,,0,0,RC167,0,0,16,16
AN168,,,0,0,AN168,0,0,16,16
JG169,24,Boy,255,168,JG169,15,35,20,23
SB172,25,Boy,280,161,SB172,15,25,21,23
YT173,24,Girl,272,99,YT173,10,10,20,20
LW176,24,Girl,560,490,LW176,80,90,28,29
ON175,23,Boy,338,177,ON175,45,50,22,23
LB170,25,Girl,656,451,LB170,95,80,30,28
SS174,24,Girl,385,245,SS174,30,40,23,23
BH171,24,Boy,405,168,BH171,50,35,24,23
JK178,24,Boy,436,428,JK178,55,90,25,28
